字头	释义
抱	1<动>用手臂合围。《赤壁赋》：“挟飞仙以遨游,～明月而长终。”2<动>环绕。杜甫《江村》：“清江一曲～村流。”3<动>怀抱;怀有。《报刘一丈书》：“至于长者之～才而困,则又令我怆然有感。”《祭妹文》：“然则～此无涯之憾。”4<名>胸怀;抱负。《宋书·范晔传》：“然区区丹～,不负夙心。”《兰亭集序》：“或取诸怀～,晤言一室之内。”5<动>凭靠。《阿房宫赋》：“各～地势,钩心斗角。”6<动>看守,守。《信陵君窃符救赵》：“嬴乃夷门～关者也。”
豹	一种像虎而比虎小的野兽。
菢	<动>孵，禽鸟伏卵。韩愈《荐士》：“鹤翎不天生，变化在啄～。”
暴	1<形>又猛又急;突然。《狼》：“屠～起,以刀劈狼首。”《察今》：“雍水～益,荆人弗知。”2<形>凶残。《陈涉世家》：“伐无道,诛～秦。”3<动>欺凌;损害。《周处》：“并皆～犯百姓。”4<形>急躁;暴躁。《孔雀东南飞》：“我有亲父兄,性行～如雷。””
暴	1<动>晒,后作“曝”。《劝学》：“虽又槁～,不复挺者。”2<动>暴露。《六国论》：“～霜露,斩荆棘,以有尺寸之地。”
陂	1<名>山坡;斜坡。杜甫《渼陂行》：“半～已南纯浸山。”2<名>水边障K的堤岸。《史记·高祖本纪》：“其先刘媪尝息大泽之～,梦与神遇。”【引】筑堤防水;壅塞。《国语·吴语》：“乃筑台于章华之上,阙为石郭～汉,以象帝舜。”3<名>积蓄水的池塘。苏轼《上皇帝书》：“万顷之稻,必用千顷之～。4<动>傍,靠近。《后汉书·冯衍传》：“～山谷而闲处兮,守寂寞而存神。”【引】顺着;沿着。【又】旁边;侧边。《汉书·礼乐志》：“腾雨师,洒路～。”
陂	倾斜。《周易·泰》：“无平不～。”【引】邪恶,不正。《吕氏春秋·君守》：“此则奸邪之情得,而险～、谗慝、谄谀、巧佞之人无由入。”
陂	倾斜不平。司马相如《哀秦二世赋》：“登～阤之长阪兮,坌入曾宫之嵯峨。”
卑	1<形>卑贱低下。《师说》：“位～则足羞，官盛则近谀。”【又】<动>贬低。《韩非子·有度》：“～主之名以显其身。”2<形>地势低下。《资治通鉴·淝水之战》：“且东南～湿。”3<形>低劣；差。《送东阳马生序》：“其业有不精，德有不成者，非天质之～，则心不若余之专耳。”4<动>轻视。晁错《论贵粟疏》：“吏之所～，法之所尊也。”5<动>衰落。《左传·昭公三年》：“公室将～，其宗族枝叶先落。”6常用于自谦，如在上司面前自称“卑职”。
悲	1<形>悲哀;伤心。《柳毅传》：“～泗淋漓,诚怛人心。”《岳阳楼记》：“不以物喜,不以己～。”【又】<形>可悲的。《察今》：“以为治岂不～哉。”【又】<形为动>为……而悲伤。《韩非子?和氏》：“吾非～刖也。”杜甫《登高》：“万里～秋常作客,百年多病独登台。”2<动>怜悯,同情。《捕蛇者说》：“余～之,且曰‘若毒之乎?’。”《指南录后序》：“使来者读之,～予志焉。”3<动>顾念;怀念。《汉书·高帝纪》：“游子～故乡。”4<动>悲伤。《游褒禅山记》：“又以～夫古书之不存。”
北	1<名>北方。《愚公移山》：“本在冀州之南,河旧之～。”2<动>向北行。《赤壁之战》：“操军破,必～还。”3<动>打了败仗往回跑。《垓下之战》：“未尝败～。”4<名败逃者>。《过秦论》：“秦有余力而制其弊,追亡逐～。”
备	1<动>具备;完备。《劝学》：“积善成德,而神明自得,圣心～焉。”2<形>齐全;周详;周到。《信陵君窃符救赵》：“吾所以待侯生者～矣。”《芙蕖》：“其事不一而足,请～述之。”3<副>尽;皆。《左传》：“～。”4<动>充数;充备。《毛遂自荐》：“愿君即以遂～员而行矣。”5<动>防备;准;预备。《殽之战》：“居则具一日之积,行则～一夕之卫。”【又】<名>事先的准备。《五蠹》：“事异则～变。”
背	1<名>脊背〖引〗物体的后面、反面或上面。王安《石元丰行示德逢》：“田～坼如龟兆出。”2<名>堂屋的北面。《诗经·卫风·伯兮》：“焉得谖草,言树之～。”3<动>背对着;背靠着。《后汉书·铫期传》：“期乃更～水而战,所杀伤甚多。”4<动>违背;违反。《上书谏吴王》：“弃义～理,不知其恶。”5<动>背向;离开。如“～井离乡。”6<动>背诵,凭记忆诵读。7<形>不顺。李白《赠从弟宣州长史昭》：“才将圣不偶,命与时俱～。”8<名>日光通过云层因折射作用而在太阳周围形成的光圈的外围。《元史·天文志一》：“日有～气,重晕三珥。”9<名>同“褙”裱褙。张怀瓘《二王等书录》：“晋代装书,真草浑杂,～纸皱起。”
背	负荷,用背驮东西。李商隐《李贺小传》：“～一古破锦囊。”
倍	1原数的基础上增加的相等数。2<动>通“背”,背向;背对着;违背;违反;背叛;背诵。3通“悖”,悖逆乖戾。《管子·五辅》：“上下无义则乱,贵贱无分则争,长幼无等则～,贫富无度则失。”
倍	<动>陪伴;伴随。《穆天子传》：“丧三即位,周室父兄子孙～之。”
悖	1<动>违背,相冲突。《殽之战》：“勤而无所,必有～心。”2<形>荒谬。《察今》：“守法而弗变则～。”3<形>昏惑;糊涂。《战国策·楚策》：“先生老～乎?
被	1<名>被子。2<动>覆盖。《促织》：“成归,闻妻言,如～冰雪。”3<动>加在……之上,加于,给于。屈原《哀郢》：“众谗人之嫉妒兮,～以不慈之伪名。”4<动>遭受;蒙受。《荆轲刺秦王》：“秦王复击轲,～八创。”《论积贮疏》：“禹汤～之矣。”5<介>表被动。《屈原列传》：“信而见疑,忠而～谤。”
被	1通“披”,穿在身上或披在身上。《陈涉世家》：“将军身～坚执锐,伐无道。”2<动>分散;散开。《屈原列传》：“屈原至j江滨,发行吟泽畔。”【辨】衾,被。先秦时,作卧具的“被子”不用“被”表示.小被称“寝衣”,大被称为“衾”。
鐾	<动>在布、皮、石头上反复磨擦刀。冯梦龙《笑府·刺俗》：“急趋入取厨下刀,于石上一再～。”
奔	1<动>跑;急跑。《促织》“虫景怒,直～,遂相腾击。”2<动>逃亡;出走。《殽之战》：“杞子～齐,逢孙、杨孙～宋。”《教战守策》：“四方之民兽～鸟窜。”3<形>急速;迅疾。李白《将进酒》：“君不见黄河之水天上来,～流到海不复回。”4<动>古时指女子不经媒人撮合而私自投奔所爱的人。《史记·司马相如列传》：“文君夜亡～相如。”5<名>指飞奔的马。《三峡》：“虽乘～御风，不以疾也。”《与朱元思书》：“急湍若箭，猛浪若～。”
奔	1<动>投奔。《汉书·卫青传》：“遂将其馀骑可八百～降单于。”【又】接近;将近。《红楼梦》：“也～皿十岁的人。”
倴	1<形>愚笨；不聪明；不灵活。李开先《宝剑记》：“这灶下～汉生活何难之有？”2<动>奔向；走向。《刘知远诸宫调·知远别三娘太原投事》：“怎恁地徤捷，欲～草房去。”3<名>地名。河北省滦南县倴城。
本	1<名>草木的根。《谏太宗十思疏》：“臣闻求木之长者,必固其根～。”2<名>树木的干。柳宗元《种树郭橐驼传》：“摇其～以观其疏密。”3<名>根本;基础。《齐桓晋文之事》：“王欲行之,刎盍反其～矣。”4<名>指农业。《论积贮疏》：“今背～而趋末,食者甚众。”5<名>本源;根源。《原毁》：“为是者有～有原,怠与忌之谓也。”6<动>依照;依据。《图画》：“虽理想派之作,亦先有～,乃增损而润色之。”7<动>堆原,考察。《伶官传序》：“抑～其成败之迹,而皆自于人欤?”8<形>本来的,原来的。《孟子·鱼我所欲也》：“此之谓失其～心。”9<副>本来;原来。《愚公移山》：“～在冀州之南,河阳之北。”《孔雀东南飞》：“～自无教训,兼愧贵家子。”10<名>本钱。韩愈《柳子厚墓志铭》：“子～相侔,则没为奴婢。”11<形>这里的;自己的。《采草药》：“用芽者自从～说。”⑿<名>版本;底本。《活板》：“已后典籍皆为板～。”⒀<名>臣下给皇帝的奏章或书信。《狱中杂记》：“是无难,别具～章。”⒁<量>株;棵。《汉书·龚遂传》：“令口种一树榆,百～薤五十～葱,一畦韭。”⒂<量>书籍的一册。《活板》：“若止印三二～,未为简易。”
畚	<名>用蒲草编制的工具。《愚公移山》：“箕～运于渤海之尾。”
坌	1<名>尘土;灰尘。《续资治通鉴·宋神宗元丰四年》：“尘～四起,居人骇散。”2<动>尘土飞扬。《新唐书·郭子仪传》：“尘且～,飞矢射贼。”3<动>聚;积聚。陆游《监丞周公墓志铭》：“当是时,自郡至属县,流民～集。”4<形>涌出。苏洵《上张侍郎第一书》：“日数千言,～然溢出。”5<形>并;一齐。《明史·王@传》：“山东、河南饥民就食者～至。”6通“笨”,不灵活。
伻	1动>使，令。王安石《谢东府赐御筵表》：“～视魏阙之下。”2<名>使者。陆游《出都》：“～来喜对草堂图。”
崩	1<动>倒塌；崩裂。《口技》：“中间力拉～倒之声。”【又】专指山坍塌。《列子·伯牙与钟子期》：“初为霖雨之操，更造～山之音。”2<动>用于抽象和比喻意义，表示崩溃；溃烂。《原君》：“视兆人万姓～溃之血肉，曾不异夫腐鼠。”3<动>古代称帝王之死。《触龙说赵太后》：“一旦山陵～，长安君何以自托于赵？”【辨】崩，薨，卒，死，没。都是古代对死的称呼。《礼记·曲礼》：“天子死曰～，诸候死曰薨，大夫死曰卒，士曰不禄，庶人曰死。”“没”等于说“去世”，后写作“殁”。
絣	1<名>古代氏族的一种纺织品。2<名>穿甲的绳。《战国策·燕策一》：“妻自组甲～。”【又】用绳索捆绑、束缚。3<形>续；继续。《后汉书·班固传》：“将～万嗣。”4<动>通“绷”，紧张。
絣	杂；错杂。《汉书·扬雄传下》：“～之以象类，播之以人事。”
絣	没有花纹的丝织品。韦庄《汧阳间》：“汧水悠悠去似～。”
迸	1<动>奔散；走散。《三国志·魏书·满宠传》：“督将～走，死伤过半。”2<动>喷射；涌流。《琵琶行》：“银瓶乍破水浆～。”
逼	1<动>接近，切近。李嘉《常州韦郎中泛舟见饯》：“～岸随芳草。”2<动>强迫；威胁。《孔雀东南飞》：“～迫有父兄。”3<形>狭窄。曹植《七启》：“人稠网密，地～势胁。”
比	1<动>并列；挨着。《核舟记》：“其两膝相～者，各隐卷底衣褶中。”2<副>接连。《史记·吕太后本纪》：“又～杀三赵王。”3<动>勾结。《韩非子·孤愤》：“朋党～周以弊主。”4<动>比较。《涉江》：“与天地兮～寿。”5<名>比喻，一种传统的表现方法。6<副>都，皆。《战国策·齐策》：“夫中山千乘之国也，而敌万乘之国二，再战～胜。”7<副>近来。《祭十二郎文》：“～得软脚病，往往岙剧。”8<介>等到，及。《项脊轩志》：“～去，以手阖门。”9<介>为，替。《孟子·梁惠王上》：“愿～死者一洒之。”10<介>比起……来。《捕蛇者说》：“今吾虽死乎此，～吾乡邻之死则已后矣。”【又】<动>比拟，认为和……一样。《隆中对》：“每自～于管仲、乐毅。”
妣	母亲。后世专指去世的母亲。《诗经·尔雅·释亲》：“父为考，母为～。”《项脊轩志》：“先～抚之甚厚。”
彼	1<代>那，那个，与“此”相对。《伐檀》：“～君子兮，不素餐兮。”2<代>别人，对方，与“己”“我”相对。《谋攻》：“知～知彼，百战不殆。”【又】他，他们。《韩非子·说疑》：“～又使谲诈之士。”3
秕	1<名>空壳无实或子实不饱满的谷粒。《尚书·仲虺之诰》：“若苗之表莠，若粟之有～。”2<形>坏，不好。《儒林传论》：“自桓、灵之间，君道～僻。”
俾	<动>使。《狱中杂记》：“置老监，～困苦不可忍。”
俾	<名>同“裨”，益处；裨益。王维《送高判官从军赴河西序》：“谋夫起予，哲士～我。”
笔	1<名>写字、画画等的工具。与纸、墨、砚合称为文房四宝。2<动>书写;记载。《送东阳马生序》：“每假借于藏书之家,手自～录。”3<名>笔迹;书画墨迹。《新唐书·李白传》：“观公～奇妙,欲以藏家尔。”4<名>散文。《文心雕龙·总述》：“今之常言,有文有～,以为无韵者～也,有韵者文也。”
鄙	1<名>边远的地方。《为学》：“蜀之～有二僧，其一贫，其一富。”2<形>鄙陋，鄙俗。《曹刿论战》：“肉食者～，未能远谋。”《廉颇蔺相如列传》：“～贱之人，不知将军宽之至此也。”3<形>轻贱。《孔雀东南飞》：“人贱物亦～，不足迎后人。”4<动>鄙薄，轻视。《训俭示康》：“孔子～其其小器。”5谦词。《滕王阁序》：“敢竭～诚。”
必	1<形>一定;必然。《论语十则》：“人无远虑,～有近忧。”2<副>一定会。《廉颇蔺相如列传》：“我见相如,～辱之。”3<副>果真,如果。《廉颇蔺相如列传》：“王～无人,臣愿奉璧往使。”4<动>一完定执行或实行。《韩非子·五蠹》：“罚莫如重而～,使民畏之。”5<动>坚决做到。《韩非子·显学》：“无参验而～之者,愚也。”
